Ngram.NGramNode.setProbabilityWithPseudoCount:185,UNSUPPORTED
Ngram.NGramNode.childSum:149,ISOLATED_AND_NON_ISOLATED_DIFFERENT_SPEC
Dictionary.Trie.TrieNode.addWord:35,NO_ISOLATED
Ngram.NGramNode.<init>:13,NO_ISOLATED
Dictionary.TxtDictionary.loadMisspelledWords:303,NO_ISOLATED
MorphologicalAnalysis.FiniteStateMachine.getState:148,NO_NON_ISOLATED
Xml.XmlDocument.readToken:65,NO_NON_ISOLATED
Dictionary.TxtWord.addFlag:54,ISOLATED_AND_NON_ISOLATED_SAME_SPEC
Dictionary.TxtDictionary.loadFromText:273,NO_NON_ISOLATED
MorphologicalAnalysis.FsmMorphologicalAnalyzer.addNewParsesFromCurrentParse:660,ISOLATED_AND_NON_ISOLATED_DIFFERENT_SPEC
MorphologicalAnalysis.Transition.makeTransition:256,NO_NON_ISOLATED
Dictionary.TxtDictionary.addWordWhenRootSoften:365,NO_NON_ISOLATED
Xml.XmlElement.getAttributeValue:64,NO_NON_ISOLATED
Ngram.NGram.readHeader:55,NO_ISOLATED
MorphologicalAnalysis.Transition.transitionPossible:94,NO_NON_ISOLATED
MorphologicalAnalysis.MorphotacticEngine.resolveH:122,NO_NON_ISOLATED
MorphologicalAnalysis.MorphotacticEngine.resolveA:72,NO_NON_ISOLATED
MorphologicalAnalysis.FsmParse.clone:317,ISOLATED_AND_NON_ISOLATED_SAME_SPEC
MorphologicalAnalysis.FsmParse.transitionList:538,NO_NON_ISOLATED
MorphologicalAnalysis.FsmParse.addSuffix:235,ISOLATED_AND_NON_ISOLATED_SAME_SPEC
Dictionary.TxtDictionary.prepareTrie:404,NO_NON_ISOLATED
MorphologicalAnalysis.MorphotacticEngine.resolveD:39,NO_NON_ISOLATED
MorphologicalAnalysis.MorphotacticEngine.resolveS:35,NO_NON_ISOLATED
Xml.XmlElement.addAttribute:89,NO_NON_ISOLATED
MorphologicalAnalysis.FiniteStateMachine.addTransition:167,ISOLATED_AND_NON_ISOLATED_SAME_SPEC
MorphologicalAnalysis.FsmParse.suffixList:682,NO_NON_ISOLATED
MorphologicalAnalysis.FsmMorphologicalAnalyzer.parseWord:756,NO_ISOLATED
MorphologicalAnalysis.FiniteStateMachine.addTransition:189,ISOLATED_AND_NON_ISOLATED_SAME_SPEC
MorphologicalAnalysis.FsmMorphologicalAnalyzer.initializeParseListFromSurfaceForm:611,NO_NON_ISOLATED
MorphologicalAnalysis.MorphotacticEngine.resolveC:207,NO_NON_ISOLATED
MorphologicalAnalysis.FsmMorphologicalAnalyzer.initializeParseList:380,ISOLATED_AND_NON_ISOLATED_DIFFERENT_SPEC
Dictionary.Trie.Trie.getWordsWithPrefix:38,ISOLATED_AND_NON_ISOLATED_DIFFERENT_SPEC
MorphologicalAnalysis.FsmParse.<init>:17,NO_NON_ISOLATED
MorphologicalAnalysis.FiniteStateMachine.<init>:40,NO_NON_ISOLATED
Deasciifier.NGramDeasciifier.loadAsciifiedSameList:145,NO_ISOLATED
MorphologicalAnalysis.FsmParseList.<init>:65,ISOLATED_AND_NON_ISOLATED_SAME_SPEC
MorphologicalAnalysis.InflectionalGroup.<init>:102,NO_NON_ISOLATED
MorphologicalAnalysis.FsmParseList.getParseWithLongestRootWord:138,NO_NON_ISOLATED
Corpus.Sentence.toString:225,NO_NON_ISOLATED
MorphologicalAnalysis.FsmParse.constructInflectionalGroups:132,NO_NON_ISOLATED
Deasciifier.NGramDeasciifier.deasciify:81,NO_NON_ISOLATED
Deasciifier.SimpleDeasciifier.candidateList:98,NO_ISOLATED
Deasciifier.SimpleDeasciifier.generateCandidateList:27,NO_ISOLATED
MorphologicalAnalysis.FsmMorphologicalAnalyzer.patternMatches:1067,NO_ISOLATED
DataStructure.Cache.LRUCache.add:61,NO_ISOLATED
Corpus.Sentence.<init>:79,NO_NON_ISOLATED
Corpus.Sentence.addWord:171,NO_NON_ISOLATED
DataStructure.Cache.LRUCache.get:41,NO_ISOLATED
MorphologicalAnalysis.FsmParseList.isLongestRootException:156,NO_NON_ISOLATED
Dictionary.TxtWord.removeFlag:63,NO_ISOLATED
Ngram.NGram.<init>:17,NO_NON_ISOLATED
Ngram.NGramNode.getBiGramProbability:310,NO_NON_ISOLATED
